"MM33"	"MM42"	"MM23"	"MM41"	"MM32"	"MM39"	"MM9"	"MM38"	"MM6"	"MM3"	"MM14"	"MM15"	"MM13"	"MM24"	"MM4"	"MM40"	"MM19"	"MM20"	"MM28"	"MM25"	"MM17"	"MM1"	"MM35"	"MM26"	"MM16"	"MM29"	"MM10"	"MM7"	"MM21"	"MM2"	"MM5"	"MM18"	"MM8"	"MM34"	"MM22"	"MM31"	"MM27"	"MM37"	"MM30"	"MM11"	"MM36"	"MM12"	"MM45"	"MM43"	"MM44"
"100307"	6	1	23	9	4	4	21	6	45	27	62	12	27	11	37	1	25	18	26	18	32	18	1	4	41	54	7	29	8	29	38	7	22	0	17	4	7	3	28	74	1	16	2	3	2
"4320381"	7	1	1	1	5	1	1	0	1	1	3	4	1	1	0	1	4	6	0	0	2	0	11	0	3	1	0	0	1	8	0	1	4	5	1	1	1	2	0	7	5	2	2	1	0
"436590"	9	0	28	5	2	3	15	2	25	20	30	11	25	8	21	0	21	18	31	25	80	12	0	17	39	33	7	31	8	20	26	16	25	2	24	4	12	8	30	29	4	25	1	5	2
"204786"	19	2	14	0	28	0	1	5	1	2	1	12	17	9	1	0	12	5	8	9	11	1	3	1	10	3	6	0	3	5	0	12	13	8	9	3	0	2	12	1	2	11	0	2	1
"565900"	4	2	10	2	5	0	2	1	5	3	0	6	6	6	2	3	3	5	13	6	8	2	0	4	5	1	2	1	4	5	6	3	6	6	8	0	4	0	2	12	0	12	1	0	0
"685739"	2	1	0	2	1	2	2	1	0	1	2	0	8	1	1	4	1	0	4	2	0	0	0	2	2	2	3	1	0	0	0	2	1	0	0	1	2	1	0	0	0	0	3	3	0
"4353076"	13	20	28	25	19	0	7	7	17	10	4	20	22	14	4	10	13	6	30	9	43	5	0	14	37	9	4	2	15	10	12	15	10	11	9	5	4	3	12	22	3	20	3	0	0
"1954099"	3	1	7	1	1	0	2	1	2	1	2	2	1	1	1	2	0	0	10	0	1	0	0	0	13	6	0	0	1	2	0	0	6	1	1	0	1	0	1	3	0	0	0	0	0
"541155"	17	5	12	2	40	2	1	1	1	6	0	23	12	8	2	2	4	3	13	9	14	1	5	2	5	1	2	1	9	3	7	7	16	14	8	6	4	0	7	6	0	9	1	4	1
"279138"	15	1	8	1	5	0	1	0	0	1	0	11	6	9	2	0	6	6	5	6	8	4	0	5	8	1	4	0	2	0	3	2	7	7	3	0	2	0	3	1	0	2	0	0	0
"938496"	0	0	6	0	0	0	0	0	0	0	0	7	9	5	2	0	1	6	0	0	4	0	0	2	3	1	0	0	0	0	0	1	8	0	12	0	0	0	2	0	0	0	0	0	0
"1125248"	4	1	23	3	14	4	3	1	9	14	0	30	36	41	16	4	33	54	22	64	56	13	12	43	63	68	11	4	37	10	18	51	18	11	53	6	39	4	53	20	4	34	6	13	1
"1125608"	1	0	14	0	0	2	1	0	1	0	0	6	3	1	2	0	8	5	6	1	4	0	0	4	7	1	0	0	2	0	2	0	2	2	3	0	0	0	3	9	0	7	0	0	0
"4373078"	0	0	4	2	1	0	2	0	1	4	0	0	3	0	0	0	0	4	0	5	3	0	1	3	8	5	14	0	3	1	0	6	1	2	3	0	13	0	1	7	0	0	0	0	0
"842284"	16	48	5	4	457	9	19	1	3	5	0	5	5	8	3	8	5	2	3	3	0	0	29	3	1	0	9	7	4	3	0	4	3	48	1	121	1	5	0	0	4	13	1	119	4
"650099"	1	5	5	2	13	0	8	4	1	4	0	8	1	25	5	19	5	4	6	13	4	1	20	25	5	10	11	5	38	10	0	21	2	2	3	25	19	0	9	1	9	4	0	4	0
"276133"	3	0	12	0	2	0	2	0	0	1	1	5	21	9	3	0	6	4	11	30	38	4	3	3	16	23	5	0	12	4	4	12	8	50	32	6	14	0	63	2	0	8	0	0	0
"2761428"	19	1	2	2	21	1	18	6	7	6	6	2	5	3	0	11	1	4	0	1	2	0	83	5	5	4	31	11	3	13	3	6	2	45	2	111	1	0	2	4	0	2	0	6	0
"533999"	0	0	0	0	0	0	1	0	0	4	2	0	0	1	1	0	0	0	4	0	5	1	1	2	3	3	4	0	1	0	3	1	0	0	7	0	0	0	2	0	0	2	0	0	0
"707290"	129	95	55	30	535	6	481	26	95	95	188	19	86	62	75	97	50	47	56	64	18	77	309	193	70	33	448	80	100	79	45	148	33	284	23	1803	78	8	66	100	53	91	10	78	15
"4343457"	0	2	1	0	3	2	5	1	1	1	0	0	1	10	4	0	4	4	2	13	5	8	121	12	3	0	7	0	24	2	0	8	3	9	2	18	2	5	16	2	0	0	0	10	0
"184325"	4	11	12	0	59	4	12	3	10	4	2	1	10	22	8	5	8	17	15	27	11	72	32	17	19	10	15	3	22	17	5	20	2	5	14	27	10	11	10	7	3	10	4	31	2
"67341"	3	1	0	0	1	0	1	0	6	0	0	0	10	2	0	4	1	7	2	4	1	0	2	4	2	0	0	0	0	1	0	3	1	1	2	2	7	0	2	1	0	4	0	0	0
"734275"	10	1	48	1	16	4	4	0	3	7	0	56	49	40	28	0	66	53	19	38	28	17	18	22	39	52	1	1	16	10	11	26	43	15	53	2	31	9	61	21	1	27	0	9	1
"105699"	54	1	53	1	32	0	9	1	6	7	2	72	84	64	10	1	55	66	44	49	50	5	343	13	48	48	23	1	18	5	10	27	42	34	52	13	44	0	60	38	0	49	0	19	2
"209481"	2	0	4	0	1	1	0	0	0	2	0	11	1	4	0	0	9	9	2	5	2	0	8	3	4	2	2	0	0	0	0	1	4	1	6	0	5	0	6	2	0	3	0	1	0
"223989"	3	2	17	0	4	1	1	0	1	3	2	10	13	9	4	0	18	15	3	10	13	5	8	5	4	25	2	0	3	3	5	4	11	4	18	2	13	4	8	8	0	13	2	0	1
"1118758"	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	3	0	0	0	0	2	0	6	0	1	4	1	2	0	0	0	0	1	0	0	2	0	2	1	0
"160366"	0	0	2	0	0	0	1	0	0	0	0	0	1	14	0	0	5	4	1	4	6	0	0	0	4	4	1	0	2	0	0	5	2	0	6	0	6	0	11	4	0	0	0	0	0
"829266"	0	1	1	0	0	2	1	1	0	0	0	2	1	1	0	0	3	0	0	3	0	0	1	4	0	0	0	0	4	0	4	2	0	0	7	3	1	4	2	0	5	0	6	1	0
"4335672"	13	12	8	7	32	1	32	94	10	19	2	7	21	36	6	36	20	35	11	19	13	0	289	36	4	2	12	4	61	6	1	44	5	2	10	39	30	20	19	6	22	11	7	257	7
"928736"	0	2	3	0	2	6	0	1	2	2	1	1	4	7	1	6	3	1	1	5	3	2	9	6	3	2	1	2	7	4	4	11	2	1	8	4	3	22	8	0	16	2	14	3	9
