#OTU_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
EU801159.1.1495	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Burkholderiaceae	 D_5__Limnohabitans	 D_6__uncultured bacterium
FPLS01061291.7.1468	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Xanthobacteraceae	 D_5__Afipia	 D_6__metagenome
JN098519.1.1426	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Propionibacteriales	 D_4__Nocardioidaceae	 D_5__Nocardioides	 Ambiguous_taxa
FR749741.1.1490	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Cytophagales	 D_4__Cytophagaceae	 D_5__Cytophaga	 D_6__uncultured Bacteroidetes bacterium
EF585981.1.1529	D_0__Bacteria	 D_1__Halanaerobiaeota	 D_2__Halanaerobiia	 D_3__Halanaerobiales	 D_4__Halanaerobiaceae	 D_5__Halocella	 D_6__uncultured bacterium
JN037980.1.1510	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Diplorickettsiales	 D_4__Diplorickettsiaceae	 D_5__uncultured	 D_6__uncultured proteobacterium
EF019556.1.1348	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Subgroup 6	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
DQ450754.1.1381	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Chitinophagales	 D_4__Chitinophagaceae	 D_5__Parafilimonas	 Ambiguous_taxa
GU983333.1.1398	D_0__Bacteria	 D_1__Planctomycetes	 D_2__Planctomycetacia	 D_3__Isosphaerales	 D_4__Isosphaeraceae	 D_5__Aquisphaera	 D_6__uncultured Planctomycetales bacterium
EF632907.1.1542	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Thermoleophilia	 D_3__Solirubrobacterales	 D_4__67-14	 D_5__uncultured bacterium	 D_6__uncultured bacterium
LN573198.1.1357	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Streptomycetales	 D_4__Streptomycetaceae	 D_5__Streptomyces	 D_6__uncultured bacterium
JX505063.1.1422	D_0__Bacteria	 D_1__Chloroflexi	 D_2__KD4-96	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa
FPLP01010084.23.1531	D_0__Bacteria	 D_1__Verrucomicrobia	 D_2__Verrucomicrobiae	 D_3__Pedosphaerales	 D_4__Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa
