Ce;Qe
2.450017811;0.003499964
2.802439065;0.010395122
3.51508697;0.022969826
3.993438342;0.032013123
4.314037989;0.051371924
4.671245266;0.090657509
5.681975891;0.108636048
6.759644857;0.18648071
7.646616054;0.284706768
12.4041248;0.47519175
19.10052571;0.761798949
32.96637656;1.134067247
50.60112576;1.498797748
76.87278675;1.846254427
